id,title,vote_average,vote_count,release_date,runtime,backdrop_path,overview,popularity,poster_path,tagline,genres,trailer_key
9453,Caligula,6.0,729,1979-08-14,156,/6UDep1cxHQqrNFhSW4ZNQLW3Alr.jpg,"The perversion behind imperial Rome, the epic story of Rome's mad Emporer. All the details of his cruel, bizarre reign are revealed right here: His unholy sexual passion for his sister, his marriage to Rome's most infamous prostitute, his fiendishly inventive means of disposing those who would oppose him, and more.",140.9,/4N4l873TVreuaR4FVpvaL2gfQ0N.jpg,What would you have done if you had been given absolute power of life and death over everybody else in the whole world?,"Drama, History, Romance",pCw_uur6nAU
157336,Interstellar,8.4,32571,2014-11-05,169,/pbrkL804c8yAv3zBZR4QPEafpAR.jpg,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,140.2,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,Mankind was born on Earth. It was never meant to die here.,"Adventure, Drama, Science Fiction",LY19rHKAaAg
744275,After We Fell,7.1,2311,2021-09-01,99,/mxdiaM2tsx8M6W3zLgiPwAkhQfq.jpg,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",140.2,/dU4HfnTEJDf9KvxGS9hgO7BVeju.jpg,,"Romance, Drama",NYdNN6C9hfI
985939,Fall,7.3,3217,2022-08-11,107,/hlxduUs8y9icWGMzYCDLcYHEQ2u.jpg,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",135.6,/v28T5F1IygM8vXWZIycfNEm3xcL.jpg,Fear reaches new heights.,Thriller,FNk7Cu4sJOs
674,Harry Potter and the Goblet of Fire,7.8,19287,2005-11-16,157,/5rrGVmRUuCKVbqUu41XIWTXJmNA.jpg,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",134.3,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,Dark And Difficult Times Lie Ahead.,"Adventure, Fantasy",4xkFJgcCQRE
505642,Black Panther: Wakanda Forever,7.2,5475,2022-11-09,162,/xDMIl84Qo5Tsu62c9DGWhmPI67A.jpg,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",131.9,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,Forever.,"Action, Adventure, Science Fiction",_Z3QKkl1WyM
791373,Zack Snyder's Justice League,8.2,9202,2021-03-18,242,/4LO6bnNGIa8zNbM6HwCYzlUKIHq.jpg,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",130.7,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,Us united.,"Action, Adventure, Fantasy",ui37YKQ9AC4
155,The Dark Knight,8.5,30619,2008-07-16,152,/nMKdUUepR0i5zn0y1T4CsSB5chy.jpg,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",130.6,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,Welcome to a world without rules.,"Drama, Action, Crime, Thriller",LDG9bisJEaI
298250,Jigsaw,6.2,3301,2017-10-25,92,/gnqSZVyZyZggPeCevB0fUAkIHa.jpg,"Dead bodies begin to turn up all over the city, each meeting their demise in a variety of grisly ways. All investigations begin to point the finger at deceased killer John Kramer.",128.0,/2mUqHJG7ZiGwZYIylczFCsRPbXM.jpg,A new game begins.,"Horror, Mystery, Thriller",vPP6aIw1vgY
493529,Dungeons & Dragons: Honor Among Thieves,7.5,2329,2023-03-23,134,/AdBXP8e6K3FYdDrMx3Wr6WZqCYF.jpg,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",126.3,/gkiHVcE4ae3BSl1x0K3qaJzpybz.jpg,No experience necessary.,"Adventure, Fantasy, Comedy",9LLOLEBlVIA
361743,Top Gun: Maverick,8.3,7546,2022-05-24,131,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",126.3,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,Feel the need... The need for speed.,"Action, Drama",Klc__shdj88
673,Harry Potter and the Prisoner of Azkaban,8.0,20038,2004-05-31,141,/obKmfNexgL4ZP5cAmzdL4KbHHYX.jpg,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",124.4,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,Something wicked this way comes.,"Adventure, Fantasy",VwErvYgoH70
3134,Baise-moi,4.8,388,2000-06-28,77,/VzGoYOsn18PRcnab6qIJBC1DOs.jpg,"Manu has lived a difficult life. Abused and violently raped, she sets off to find herself only to meet Nadine, a prostitute who has encountered one too many injustices in the world. Angry at the world, they embark on a twisted, rage-filled road trip. They choose to have sex when they please and kill when they need. Leaving a trail of mischief and dead bodies in their wake. Generating a media blitz and manhunt, soon everyone is out to capture the young fugitives.",124.0,/fYijiVwEyP2JsDuSenGOsFNXEbn.jpg,Art or Pornography? You be the judge! Complete and Uncut the most controversial film of all time...A hard-core Thelma & Louise,"Crime, Drama, Romance, Thriller",QrNhnhDN_gA
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.1,9808,2005-12-07,143,/9iRRfMZbnpgHDdKi2lczGGYZXDo.jpg,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",123.5,/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg,Evil Has Reigned For 100 Years...,"Adventure, Family, Fantasy",ruGHxmjQ180
868759,Ghosted,7.1,1324,2023-04-18,117,/b9UCfDzwiWw7mIFsIQR9ZJUeh7q.jpg,"Salt-of-the-earth Cole falls head over heels for enigmatic Sadie — but then makes the shocking discovery that she’s a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",122.8,/liLN69YgoovHVgmlHJ876PKi5Yi.jpg,Finding that special someone can be a real adventure.,"Action, Comedy, Romance",IAdCsNtEuBU
278,The Shawshank Redemption,8.7,24649,1994-09-23,142,/kXfqcdQKsToO0OUXHcrrNCHDBzO.jpg,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",122.6,/lyQBXzOQSuE59IsHyhrp0qIiPAz.jpg,Fear can hold you prisoner. Hope can set you free.,"Drama, Crime",PLl99DlL6b4
841755,Mortal Kombat Legends: Battle of the Realms,7.7,390,2021-08-31,80,/dssCw0mUmD4EriUmkwB3PnsGu4q.jpg,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",122.0,/ablrE8IbWcIrAxMmm4gnPn75AMS.jpg,The battle to end all battles.,"Animation, Action, Fantasy",hRRtd7Etato
767,Harry Potter and the Half-Blood Prince,7.7,18127,2009-07-15,153,/urDWNffjwmNi5IQaezw9GwqkUXa.jpg,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",121.7,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,Dark Secrets Revealed,"Adventure, Fantasy",tAiy66Xrsz4
